window_id,H_S,H_Sp,MI,P,H_f,H_b,Delta_H
1,2.4509558010348713,2.4521314464633295,2.3344785843626337,0.47612421858366905,0.11765286210069581,0.11647721667223765,0.0011756454284581608
2,2.6658887052412323,2.6719312891424036,2.5347370063456602,0.4748637100937588,0.13719428279674384,0.13115169889557254,0.0060425839011712945
3,2.688557650660334,2.7006192514989142,2.545175820740236,0.47227542664640987,0.15544343075867761,0.1433818299200973,0.012061600838580322
4,2.4440032341764777,2.466843409828085,2.323390385039206,0.47311401749344617,0.143453024788879,0.12061284913727155,0.022840175651607453
5,2.75448924725103,2.7603490059267393,2.6008183888302985,0.4716037478219149,0.15953061709644123,0.1536708584207318,0.0058597586757094255
6,2.9747419647298274,2.9830559150267772,2.800148032203911,0.46999715141701087,0.18290788282286607,0.17459393252591626,0.008313950296949812
7,2.845806697965049,2.8523754311814766,2.6874651142249095,0.4716355239820034,0.1649103169565671,0.1583415837401394,0.006568733216427702
8,3.21942793346053,3.2226346561057757,3.0122074543157438,0.467584319841036,0.2104272017900315,0.20722047914478559,0.0032067226452459074
9,3.3529192118890605,3.355228403242595,3.119499983757593,0.46503150537726634,0.23572841948500267,0.23341922813146798,0.0023091913535346897
10,3.462620573558685,3.4723350389805767,3.2298487083140546,0.4657345899192328,0.24248633066652214,0.23277186524463023,0.009714465421891916
11,3.728197745107642,3.730830483127651,3.4569459513681746,0.46345795264352313,0.27388453175947625,0.2712517937394674,0.0026327380200088513
12,3.7258925154562266,3.7275977009085137,3.47399823390564,0.4660901313425214,0.25359946700287317,0.251894281550586,0.0017051854522871501
13,3.449300647184027,3.4464191294622593,3.2255643348525553,0.467763255951404,0.22085479460970436,0.22373631233147195,-0.0028815177217675902
14,3.1646550289596496,3.1613728588855494,2.9677299255135168,0.4691300731088618,0.19364293337203264,0.1969251034461328,-0.0032821700741001436
15,2.839428586407369,2.819045159983035,2.6540291168664565,0.4690362164460845,0.1650160431165788,0.18539946954091313,-0.020383426424334328
16,2.5524527812310005,2.555713240022911,2.4075205356962517,0.4713082005712244,0.1481927043266591,0.14493224553474882,0.003260458791910281
17,2.1933674923394024,2.1864022991144116,2.0782120642190964,0.47450257962742326,0.10819023489531521,0.11515542812030599,-0.006965193224990784
18,2.0717043016902443,2.0825830289097307,1.9664754895857532,0.47336049076358633,0.11610753932397744,0.10522881210449109,0.01087872721948635
19,1.8761908838052002,1.8747766710059124,1.800064865836023,0.47989347802467697,0.07471180516988962,0.0761260179691774,-0.0014142127992877729
20,1.8892357380411176,1.892415042365659,1.8159138998835178,0.48019079638236384,0.07650114248214113,0.07332183815759974,0.0031793043245413877
21,1.9275279825611504,1.9339802523139773,1.8353403540900257,0.47529106309140795,0.0986398982239518,0.09218762847112494,0.006452269752826867
22,1.768474963319128,1.7765854600159154,1.6970903325592597,0.47871971980740136,0.07949512745665577,0.07138463075986823,0.00811049669678754
23,2.0745733832578592,2.069049201556756,1.9758994868923851,0.4768531511855312,0.09314971466437072,0.09867389636547408,-0.005524181701103359
24,2.575041511517118,2.5773090592359393,2.447415593070613,0.47500952418944264,0.12989346616532638,0.12762591844650517,0.0022675477188212056
25,2.8295266900712224,2.835531018767066,2.6737436094750096,0.4719711160759391,0.1617874092920566,0.15578308059621282,0.006004328695843775
26,2.922745572180709,2.9185197276278525,2.7473769841288216,0.4703393602442372,0.17114274349903136,0.17536858805188782,-0.004225844552856461
27,3.1782588692910254,3.1828816091174024,2.96395384076296,0.46594692426986745,0.2189277683544426,0.21430502852806566,0.004622739826376954
28,3.2021255248983773,3.1936944415217745,2.974229876378679,0.46502714147587326,0.21946456514309576,0.22789564851969857,-0.00843108337660281
29,3.3144602990369796,3.3139468230335885,3.1006766435129833,0.4677860889366132,0.21327017952060512,0.21378365552399625,-0.0005134760033911334
30,3.4549129464131845,3.4511811985708993,3.221027681600423,0.4664036739116661,0.23015351697047626,0.2338852648127614,-0.003731747842285138
31,3.3671054841359482,3.374959756652182,3.152440687483453,0.467577897112568,0.22251906916872866,0.21466479665249505,0.007854272516233607
32,3.327703724367298,3.328281573896461,3.1288385525707243,0.47007894584546245,0.1994430213257372,0.19886517179657437,0.0005778495291628438
33,3.3287433161545605,3.3073436015612043,3.111664677898822,0.46890053076186966,0.1956789236623826,0.2170786382557388,-0.02139971459335621
34,3.232206963226965,3.2314841065529643,3.034729633530957,0.469504127095338,0.19675447302200721,0.19747732969600795,-0.000722856674000738
35,2.838000428434877,2.8428390565515764,2.6653315525270864,0.4691791696581341,0.17750750402449,0.17266887590779056,0.004838628116699439
36,2.5602302065323608,2.5626890424709723,2.4052410288976978,0.469505942215591,0.15744801357327454,0.15498917763466302,0.0024588359386115144
37,2.49820251232711,2.4969190500074854,2.3709063977841804,0.4746443841651128,0.12601265222330538,0.1272961145429301,-0.0012834623196247286
38,2.4677315174320347,2.470412555869591,2.3425133691558018,0.47437120796469706,0.12789918671378908,0.1252181482762329,0.0026810384375561824
39,2.455168192861171,2.4657381325236893,2.3310990389683384,0.47371335376639684,0.13463909355535142,0.12406915389283313,0.01056993966251829
40,2.302578505999204,2.2956416083965614,2.187542808803805,0.4757368621730849,0.10809879959275648,0.11503569719539897,-0.006936897602642489
41,2.4877358854105256,2.4920265568323834,2.3578192275481946,0.47348026234083196,0.13420732928418877,0.12991665786233098,0.004290671421857795
42,2.461602057601879,2.461323178284656,2.3440088320885137,0.47614146463193197,0.1173143461961419,0.11759322551336471,-0.00027887931722281323
43,1.9130939820447623,1.9120803508331359,1.8385196834257413,0.48063683467271345,0.07356066740739453,0.07457429861902098,-0.0010136312116264534
44,2.1918677262892423,2.184399978664745,2.0800822536183947,0.4753096459943977,0.10431772504635006,0.1117854726708476,-0.007467747624497534
45,2.055812507856066,2.056062395447005,1.9527350540582415,0.4749013771040574,0.1033273413887641,0.10307745379782496,0.00024988759093913515
46,2.209514579680771,2.216341579288532,2.094790032583068,0.47330730085699496,0.1215515467054642,0.11472454709770297,0.0068269996077612305
47,2.3135830160921187,2.305151932715516,2.1614279324942296,0.46796968357152,0.14372400022128673,0.15215508359788954,-0.00843108337660281
