t,theta1,theta2,omega1,omega2,KE1,KE2,PE1,PE2,TotalE
0.045,-1.609403945,-2.137955412,0.446873366,-0.013556936,0.099847903,0.094708281,10.18864665,25.26895246,35.65215529
0.046,-1.60895214,-2.137969039,0.456735893,-0.013695451,0.104303838,0.09899748,10.18421771,25.26463627,35.65215529
0.047,-1.608490474,-2.137982799,0.466593918,-0.013823181,0.108854942,0.103383884,10.17969203,25.26022444,35.65215529
0.048,-1.608018953,-2.137996681,0.476447342,-0.013939885,0.113501035,0.107867682,10.17506965,25.25571692,35.65215529
0.049,-1.607537581,-2.138010675,0.486296065,-0.014045324,0.118241931,0.112449069,10.17035062,25.25111367,35.65215529
0.05,-1.607046363,-2.138024768,0.496139987,-0.014139255,0.123077444,0.117128241,10.16553497,25.24641463,35.65215529
0.051,-1.606545303,-2.138038949,0.505979009,-0.014221439,0.128007379,0.1219054,10.16062276,25.24161975,35.65215529
0.052,-1.606034406,-2.138053207,0.515813029,-0.014291634,0.133031541,0.126780752,10.15561402,25.23672897,35.65215529
0.053,-1.605513678,-2.138067529,0.525641949,-0.014349597,0.138149729,0.131754506,10.15050881,25.23174225,35.65215529
0.054,-1.604983124,-2.138081902,0.535465667,-0.014395087,0.14336174,0.136826875,10.14530716,25.22665952,35.65215529
0.055,-1.604442749,-2.138096315,0.545284083,-0.014427862,0.148667366,0.141998075,10.14000913,25.22148072,35.65215529
0.056,-1.603892558,-2.138110753,0.555097097,-0.014447678,0.154066393,0.147268329,10.13461476,25.21620581,35.65215529
0.057,-1.603332557,-2.138125205,0.564904608,-0.014454293,0.159558608,0.152637859,10.1291241,25.21083472,35.65215529
0.058,-1.60276275,-2.138139658,0.574706515,-0.014447463,0.165143789,0.158106895,10.12353721,25.20536739,35.65215529
0.059,-1.602183145,-2.138154096,0.584502718,-0.014426944,0.170821714,0.163675669,10.11785414,25.19980377,35.65215529
0.06,-1.601593747,-2.138168507,0.594293115,-0.014392492,0.176592154,0.169344416,10.11207493,25.19414379,35.65215529
0.061,-1.600994561,-2.138182876,0.604077607,-0.014343862,0.182454877,0.175113375,10.10619965,25.18838738,35.65215529
0.062,-1.600385594,-2.13819719,0.613856091,-0.014280811,0.18840965,0.18098279,10.10022835,25.1825345,35.65215529
0.063,-1.599766851,-2.138211433,0.623628466,-0.014203092,0.194456232,0.186952908,10.09416109,25.17658506,35.65215529
0.064,-1.599138339,-2.138225591,0.633394632,-0.01411046,0.20059438,0.193023979,10.08799792,25.17053901,35.65215529
0.065,-1.598500064,-2.138239649,0.643154487,-0.014002669,0.206823847,0.199196258,10.0817389,25.16439629,35.65215529
0.066,-1.597852032,-2.138253591,0.652907929,-0.013879473,0.213144382,0.205470002,10.07538409,25.15815682,35.65215529
0.067,-1.59719425,-2.138267402,0.662654857,-0.013740626,0.21955573,0.211845472,10.06893355,25.15182054,35.65215529
0.068,-1.596526725,-2.138281067,0.67239517,-0.01358588,0.226057632,0.218322934,10.06238735,25.14538737,35.65215529
0.069,-1.595849462,-2.138294569,0.682128765,-0.013414989,0.232649826,0.224902656,10.05574555,25.13885726,35.65215529
0.07,-1.595162469,-2.138307892,0.691855542,-0.013227705,0.239332045,0.231584911,10.04900821,25.13223013,35.65215529
0.071,-1.594465753,-2.138321019,0.701575398,-0.013023781,0.24610402,0.238369973,10.04217539,25.1255059,35.65215529
0.072,-1.593759321,-2.138333933,0.711288231,-0.012802967,0.252965474,0.245258123,10.03524717,25.11868452,35.65215529
0.073,-1.593043179,-2.138346619,0.72099394,-0.012565016,0.259916131,0.252249641,10.02822362,25.1117659,35.65215529
0.074,-1.592317335,-2.138359058,0.730692423,-0.012309679,0.266955708,0.259344816,10.0211048,25.10474997,35.65215529
0.075,-1.591581797,-2.138371232,0.740383576,-0.012036706,0.27408392,0.266543935,10.01389078,25.09763666,35.65215529
0.076,-1.590836571,-2.138383125,0.7500673,-0.011745849,0.281300477,0.273847292,10.00658163,25.09042589,35.65215529
0.077,-1.590081665,-2.138394718,0.75974349,-0.011436858,0.288605085,0.281255183,9.999177437,25.08311758,35.65215529
0.078,-1.589317086,-2.138405993,0.769412045,-0.011109482,0.295997447,0.288767907,9.991678263,25.07571167,35.65215529
0.079,-1.588542843,-2.138416931,0.779072863,-0.010763471,0.303477263,0.296385768,9.984084188,25.06820807,35.65215529
0.08,-1.587758943,-2.138427513,0.788725841,-0.010398576,0.311044226,0.304109072,9.976395287,25.06060671,35.65215529
0.081,-1.586965394,-2.138437722,0.798370877,-0.010014544,0.318698028,0.311938127,9.968611639,25.0529075,35.65215529
0.082,-1.586162204,-2.138447536,0.808007868,-0.009611126,0.326438357,0.319873247,9.960733324,25.04511036,35.65215529
0.083,-1.585349381,-2.138456937,0.817636713,-0.009188069,0.334264897,0.327914748,9.952760423,25.03721522,35.65215529
0.084,-1.584526933,-2.138465906,0.827257308,-0.008745122,0.342177327,0.336062948,9.944693018,25.029222,35.65215529
0.085,-1.583694869,-2.138474421,0.836869551,-0.008282032,0.350175323,0.34431817,9.936531193,25.0211306,35.65215529
0.086,-1.582853197,-2.138482463,0.84647334,-0.007798549,0.358258557,0.352680739,9.928275032,25.01294096,35.65215529
0.087,-1.582001925,-2.138490011,0.856068572,-0.007294419,0.3664267,0.361150984,9.919924622,25.00465298,35.65215529
0.088,-1.581141063,-2.138497045,0.865655144,-0.006769389,0.374679414,0.369729235,9.911480051,24.99626659,35.65215529
0.089,-1.580270618,-2.138503543,0.875232954,-0.006223208,0.383016362,0.378415828,9.902941407,24.98778169,35.65215529
0.09,-1.5793906,-2.138509484,0.8848019,-0.005655622,0.391437201,0.3872111,9.894308781,24.97919821,35.65215529
0.091,-1.578501017,-2.138514847,0.894361878,-0.005066377,0.399941585,0.396115391,9.885582266,24.97051605,35.65215529
0.092,-1.577601879,-2.138519609,0.903912787,-0.00445522,0.408529163,0.405129045,9.876761953,24.96173513,35.65215529
0.093,-1.576693195,-2.13852375,0.913454523,-0.003821898,0.417199583,0.414252408,9.867847939,24.95285536,35.65215529
0.094,-1.575774973,-2.138527246,0.922986984,-0.003166157,0.425952487,0.423485829,9.85884032,24.94387665,35.65215529
0.095,-1.574847224,-2.138530075,0.932510068,-0.002487742,0.434787514,0.432829659,9.849739192,24.93479892,35.65215529
0.096,-1.573909956,-2.138532214,0.942023672,-0.0017864,0.4437043,0.442284255,9.840544656,24.92562208,35.65215529
0.097,-1.57296318,-2.13853364,0.951527694,-0.001061876,0.452702476,0.451849972,9.831256811,24.91634603,35.65215529
0.098,-1.572006904,-2.13853433,0.961022031,-0.000313916,0.461781672,0.461527172,9.82187576,24.90697069,35.65215529
0.099,-1.571041139,-2.13853426,0.97050658,0.000457735,0.470941511,0.471316217,9.812401607,24.89749595,35.65215529
0.1,-1.570065894,-2.138533406,0.97998124,0.001253332,0.480181615,0.481217473,9.802834457,24.88792174,35.65215529
0.101,-1.56908118,-2.138531745,0.989445908,0.002073129,0.489501602,0.491231308,9.793174416,24.87824796,35.65215529
0.102,-1.568087006,-2.138529252,0.998900481,0.002917382,0.498901086,0.501358092,9.783421593,24.86847452,35.65215529
0.103,-1.567083382,-2.138525902,1.008344858,0.003786345,0.508379677,0.511598198,9.773576098,24.85860132,35.65215529
0.104,-1.566070319,-2.138521671,1.017778937,0.004680274,0.517936982,0.521952003,9.763638041,24.84862826,35.65215529
0.105,-1.565047828,-2.138516533,1.027202615,0.005599423,0.527572606,0.532419884,9.753607536,24.83855526,35.65215529
0.106,-1.564015918,-2.138510463,1.03661579,0.006544048,0.537286148,0.543002222,9.743484697,24.82838222,35.65215529
0.107,-1.5629746,-2.138503436,1.04601836,0.007514404,0.547077205,0.553699399,9.733269641,24.81810905,35.65215529
0.108,-1.561923885,-2.138495426,1.055410224,0.008510746,0.556945371,0.564511802,9.722962484,24.80773563,35.65215529
0.109,-1.560863783,-2.138486406,1.06479128,0.00953333,0.566890235,0.575439817,9.712563347,24.79726189,35.65215529
0.11,-1.559794306,-2.13847635,1.074161426,0.010582411,0.576911385,0.586483834,9.70207235,24.78668772,35.65215529
0.111,-1.558715464,-2.138465232,1.083520561,0.011658245,0.587008403,0.597644245,9.691489616,24.77601303,35.65215529
0.112,-1.557627268,-2.138453025,1.092868583,0.012761086,0.59718087,0.608921444,9.68081527,24.76523771,35.65215529
0.113,-1.55652973,-2.138439701,1.10220539,0.013891189,0.607428361,0.620315827,9.670049436,24.75436167,35.65215529
0.114,-1.555422861,-2.138425233,1.111530882,0.015048811,0.617750451,0.631827792,9.659192244,24.7433848,35.65215529
0.115,-1.554306672,-2.138409594,1.120844958,0.016234206,0.62814671,0.643457741,9.648243821,24.73230702,35.65215529
0.116,-1.553181175,-2.138392756,1.130147516,0.017447629,0.638616704,0.655206073,9.637204299,24.72112821,35.65215529
0.117,-1.552046381,-2.138374689,1.139438456,0.018689334,0.649159998,0.667073195,9.626073811,24.70984829,35.65215529
0.118,-1.550902302,-2.138355367,1.148717677,0.019959578,0.659776151,0.679059512,9.614852491,24.69846714,35.65215529
0.119,-1.54974895,-2.138334761,1.157985078,0.021258614,0.670464721,0.691165432,9.603540476,24.68698466,35.65215529
0.12,-1.548586336,-2.13831284,1.167240559,0.022586698,0.681225262,0.703391364,9.592137903,24.67540076,35.65215529
0.121,-1.547414473,-2.138289578,1.17648402,0.023944083,0.692057325,0.715737719,9.580644911,24.66371533,35.65215529
0.122,-1.546233372,-2.138264942,1.185715361,0.025331024,0.702960459,0.728204912,9.569061643,24.65192828,35.65215529
0.123,-1.545043046,-2.138238906,1.194934482,0.026747776,0.713934208,0.740793357,9.557388241,24.64003948,35.65215529
0.124,-1.543843507,-2.138211437,1.204141282,0.028194591,0.724978114,0.753503469,9.545624851,24.62804886,35.65215529
0.125,-1.542634768,-2.138182506,1.213335663,0.029671723,0.736091716,0.766335667,9.533771619,24.61595629,35.65215529
0.126,-1.54141684,-2.138152083,1.222517525,0.031179427,0.747274549,0.779290371,9.521828695,24.60376167,35.65215529
0.127,-1.540189737,-2.138120137,1.231686769,0.032717955,0.758526148,0.792368001,9.509796227,24.59146491,35.65215529
0.128,-1.538953471,-2.138086637,1.240843295,0.034287561,0.769846042,0.805568979,9.497674369,24.5790659,35.65215529
0.129,-1.537708054,-2.138051552,1.249987006,0.035888497,0.781233757,0.81889373,9.485463275,24.56656453,35.65215529
0.13,-1.536453501,-2.138014849,1.259117802,0.037521015,0.792688819,0.832342677,9.4731631,24.55396069,35.65215529
0.131,-1.535189823,-2.137976499,1.268235584,0.039185367,0.804210749,0.845916248,9.460774003,24.54125429,35.65215529
0.132,-1.533917034,-2.137936468,1.277340256,0.040881806,0.815799065,0.859614869,9.448296144,24.52844521,35.65215529
0.133,-1.532635147,-2.137894725,1.286431718,0.042610583,0.827453282,0.87343897,9.435729683,24.51553336,35.65215529
